# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0018
# Reynolds number,120000
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-2.099999999999999645e+00 -2.662409842014312744e-01 1.839447207748889923e-02 -1.868520514108240604e-03 -9.433671236038208008e-01 1.000000000000000000e+00 1.000000000000000000e+00
-2.000000000000000000e+00 -2.574679553508758545e-01 1.834500953555107117e-02 -1.265379018150269985e-03 -9.282612800598144531e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.900000000000000355e+00 -2.407595217227935791e-01 1.823686808347702026e-02 -1.952696708030998707e-03 -9.064731597900390625e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.799999999999998934e+00 -2.237821817398071289e-01 1.808216609060764313e-02 -2.755276160314679146e-03 -8.852187991142272949e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.699999999999999289e+00 -2.134455293416976929e-01 1.806000433862209320e-02 -2.295664744451642036e-03 -8.694608211517333984e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.599999999999999645e+00 -1.991785168647766113e-01 1.793114095926284790e-02 -2.585136331617832184e-03 -8.510983586311340332e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.500000000000000000e+00 -1.813937127590179443e-01 1.780871860682964325e-02 -3.356717526912689209e-03 -8.301326036453247070e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.400000000000000355e+00 -1.732479631900787354e-01 1.776925660669803619e-02 -2.587210386991500854e-03 -8.171730637550354004e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.299999999999998934e+00 -1.577314585447311401e-01 1.767213270068168640e-02 -2.944570034742355347e-03 -7.986722588539123535e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.199999999999999289e+00 -1.426157951354980469e-01 1.753622666001319885e-02 -3.281712299212813377e-03 -7.809092998504638672e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.099999999999999645e+00 -1.332609504461288452e-01 1.753553934395313263e-02 -2.623986452817916870e-03 -7.676993608474731445e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.000000000000000000e+00 -1.190907359123229980e-01 1.741062663495540619e-02 -2.769655780866742134e-03 -7.512472271919250488e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.000000000000003553e-01 -1.075760126113891602e-01 1.738894730806350708e-02 -2.446731319651007652e-03 -7.369089722633361816e-01 1.000000000000000000e+00 1.000000000000000000e+00
-7.999999999999989342e-01 -9.587854146957397461e-02 1.730670407414436340e-02 -2.180365379899740219e-03 -7.228153944015502930e-01 1.000000000000000000e+00 1.000000000000000000e+00
-6.999999999999992895e-01 -8.017289638519287109e-02 1.721905544400215149e-02 -2.469069790095090866e-03 -7.059531211853027344e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.999999999999996447e-01 -7.228903472423553467e-02 1.721261069178581238e-02 -1.621331437490880489e-03 -6.950563788414001465e-01 1.000000000000000000e+00 1.000000000000000000e+00
-5.000000000000000000e-01 -5.755310505628585815e-02 1.715617626905441284e-02 -1.733780489303171635e-03 -6.792904138565063477e-01 1.000000000000000000e+00 1.000000000000000000e+00
-3.999999999999985789e-01 -4.839473590254783630e-02 1.712812110781669617e-02 -1.078448956832289696e-03 -6.679847240447998047e-01 1.000000000000000000e+00 1.000000000000000000e+00
